VIN,DATE (UTC),Charge Handle Communication Signal,Charge Cable Connected,Charge Cable Secured,Charge Port Door Button Pressed,UI Setting - PIN to Drive,PIN Tto Drive accepted,Requested Charge Current (Amps),UI Setting - Automatic Emergency Braking,UI Setting - Automatic High Beam,UI Setting - Vehicle Alarm,UI Setting - Automatic Mirror Fold/Unfold,UI Setting - Automatic High/Low Beams Enabled,UI Setting - Automatic Lane Change,Request Automatic Parking,UI Request - Enable Charging,UI Setting - Door Child Locking,UI Request - close Charge Port Door,UI Setting - Navigate on Autopilot,UI Request - Factory Reset,UI Setting - Forward Collision Warning,UI Setting - Forward Collision Warning Sensitivity,UI Request - Follow Navigate on Autopilot Route,UI Request - Front Trunk Open,UI Setting - Disable Air Conditioning,Air Conditioning - Air Distribution Mode,Air Conditioning - Cabin Blower Setting,Air Conditioning - Cabin Defog Mode,Air Conditioning - Cabin Air Recirculation Mode,Air Conditioning - Rear Cabin Blower Setting,Seating - Left Front Temperature,Seating - Right Front Temperature,Air Conditioning - State,UI Setting - Autosteer,UI Setting - Lane Departure Warning,UI Setting - Headlamps,UI Request - Vehicle Lock/Unlock,UI Setting - Mirror Fold ,Navigation Route Active,Navigating to Supercharger,Odometer (Kilometers),UI Request - Open Charger Port Door,UI Request - Park Brake,UI Setting - Acceleration Mode,Mobile App - Remote Closure Request,Mobile App - Remote Start Request,UI Setting - Headlamps After Exit,Auto Summon Status,UI Setting - Steering Mode,UI Setting - Stopping Mode ,Summon State,UI Request - Track Mode,UI Request - Trunk Open/Close,UI Setting - Lane Change Mode,UI Setting - Unlock On Park,"Air Conditioning - Left Side, Split/Focus","Air Conditioning - Left Side, Split Percentage","Air Conditioning - Left Side, Vertical Position","Air Conditioning - Left Side, Horizontal Position","Air Conditioning - Right Side, Split/Focus","Air Conditioning - Right Side, Split Percentage","Air Conditioning - Right Side, Vertical Position","Air Conditioning - Right Side, Horizontal Position",UI Setting - Walk Away Door Locking,UI Setting - Winch Mode,UI Request - Wiper Mode,Wiper Speed,Daytime Running Light Status - Left,Daytime Running Light Status - Right,Steering Column Profile Recall,Front Left Seatbelt Buckle Status,Front Left Seat - Backrest Position,Switch Request - Front Left Seat Backrest Back,Switch Request - Front Left Seat Backrest Forward,Switch Request - Front Left Seat Lift Down,Front Left Seat - Lift Position,Switch Request - Front Left Seat Switch Lift Up,Switch Request - Front Left Seat Switch Lumbar Down,Switch Request - Front Left Seat Switch Lumbar In,Switch Request - Front Left Seat Switch Lumbar Out,Switch Request - Front Left Seat Switch Lumbar Up,Switch Request - Front Left Seat Switch Tilt Down,Front Left Seat - Tilt Position,Switch Request - Front Left Seat Switch Tilt Up,Switch Request - Front Left Seat Track Back,Switch Request - Front Left Seat Track Forward,Front Left Seat - Track Position,"Seat Occupancy Status - Rear, Centre","Seatbelt Buckle Status - Left Side, Rear","Seat Occupancy Status - Left Side, Rear","Seat Occupancy Status - Right Side, Rear","Seat Profile Recall - Left Side, Front","Seatbelt Buckle Status - Right Side, Front",Front Right Seat - Backrest Position,Switch Request - Front Right Seat Backrest Back,Switch Request - Front Right Seat Backrest Forward,Switch Request - Front Right Seat Lift Down,Front Right Seat - Lift Position,Switch Request - Front Right Seat Switch Lift Up,Switch Request - Front Right Seat Switch Lumbar Down,Switch Request - Front Right Seat Switch Lumbar In,Switch Request - Front Right Seat Switch Lumbar Out,Switch Request - Front Right Seat Switch Lumbar Up,Switch Request - Front Right Seat Switch Tilt Down,Front Right Seat - Tilt Position,Switch Request - Front Right Seat Switch Tilt Up,Switch Request - Front Right Seat Track Back,Switch Request - Front Right Seat Track Forward,Front Right Seat - Track Position,"Seatbelt Buckle Status - Centre, Rear","Seatbelt Buckle Status - Right, Rear",Seat Profile Recall - Front Right,Multiple NFC Cards Detected at Left Pillar,Multiple NFC Cards Detected at Right Pillar,ID of NFC card at Right Reader,Multiple NFC Cards Detected at Centre Console,ID of NFC card at Centre Console Reader,Mobile App Request - Left Front Window,Mobile App Request - Left Rear Window,Mobile App Request - Right Front Window,Mobile App Request - Right Rear Window,Mobile App Window Request Type
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,"WINDOW_REQUEST_IDLE, 0.0"
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0",,"SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0",,"SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0","SWITCH_FAULT, 3.0",,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SWITCH_SNA, 0.0",,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,"SWITCH_SNA, 0.0","SWITCH_SNA, 0.0","SWITCH_SNA, 0.0","SWITCH_SNA, 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LIGHT_OFF, 0.0","LIGHT_OFF, 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.785,0.00,"CABLE_NOT_PRESENT, 0.0",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SWITCH_OFF, 1.0",,,,,,,,,,,,,,,,,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SWITCH_OFF, 1.0",,,,,,,,,,,,,,,,,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.20,,,,4.00,,,,,,,4.80,,,,224.00,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.89,,,,0.00,,,,,,,1.00,,,,127.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:01.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,"SWITCH_OFF, 1.0","SWITCH_OFF, 1.0","SWITCH_OFF, 1.0",,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:02.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:02.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RECALL_SNA, 0.0",,,,,,,,,,,,,,,,,,,,,,"RECALL_SNA, 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:02.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RECALL_SNA, 0.0",,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:02.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.057,,,,,,,,,,,,,,,,,,,,,,,,"AUTO, 0.0","AUTO, 0.0","AUTO, 11.0","NONE, 0.0","AUTO, 0.0","AUTO, 0.0",21.00,21.00,"OVERHEAT_PROTECT, 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.058,,,,,,,,"AEB_ON, 1.0","AHLB_ON, 1.0",1.00,1.00,1.00,"ON, 1.0","NONE, 0.0",,0.00,,,,"FCW_ON, 1.0","AEB_SENSITIVITY_AVERAGE, 1.0",,0.00,,,,,,,,,,"LATERAL_CONTROL_ON, 1.0","NO_HAPTIC, 0.0",,"UI_LOCK_REQUEST_IDLE, 0.0","MIRROR_FOLD_REQUEST_IDLE, 0.0",,,,,"PARK_BRAKE_REQUEST_IDLE, 0.0","CHILL, 0.0","UI_REMOTE_CLOSURE_REQUEST_IDLE, 0.0","UI_REMOTE_START_REQUEST_IDLE, 0.0",0.00,,"STEERING_TUNE_STANDARD, 1.0","HOLD, 2.0",0.00,,,,0.00,,,,,,,,,1.00,"WINCH_MODE_IDLE, 0.0","WIPER_MODE_NORMAL, 2.0","WIPER_REQUEST_OFF, 1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.059,,,,,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LIGHT_SWITCH_SNA, 4.0",,,,0.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.061,,,,,,,,,,,,,,,,,,"DOM_OFF, 0.0",,,,"NAV_ROUTE_OFF, 0.0",,,,,,,,,,,,,,,,,,,,,,,,,"SNA, 15.0",,,,,,"SPEED_BASED_ULC_MILD, 1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.062,,,,,,,,,,,,,,,,,,,"NONE_SNA, 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.120,,,,,,,16.00,,,,,,,,1.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRACK_MODE_REQUEST_OFF, 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SPLIT, 1.0",26.50,50.00,100.00,"SPLIT, 1.0",13.00,50.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WIPER_REQUEST_AUTO, 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LIGHT_SWITCH_AUTO, 0.0",,,,,15924.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.50,21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:04.714,,,,,,,,,,,,,,"SEARCH, 9.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:16:05.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NONE, 0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:17:50.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LIGHT_FAULT, 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YXXXXXXXXXXXXXXX, 2021-11-19 08:17:51.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LIGHT_FAULT, 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
